month,signups,activated_users,dau,mau,retention_30d,churn_rate,subscription_conversion,revenue,nps
2025-01,1200,700,4800,15000,42,5.2,8.5,52000,41
2025-02,1350,790,5100,15600,44,5.0,8.8,54800,43
2025-03,1420,810,5300,16200,43,5.4,8.2,53900,42
2025-04,1500,780,5050,16000,39,6.3,7.6,51500,38
2025-05,1620,760,4920,15800,36,6.9,7.1,49700,36
2025-06,1700,820,5000,15950,37,6.8,7.4,50800,37
2025-07,1800,910,5400,16500,40,6.1,8.0,53600,40
2025-08,1880,980,5750,17200,43,5.6,8.6,56200,42
2025-09,1940,1005,5900,17850,45,5.1,9.0,58900,44
2025-10,2050,1060,6150,18400,47,4.8,9.4,62100,46
2025-11,2140,1100,6400,19100,48,4.6,9.8,64800,47
2025-12,2280,1175,6720,19800,50,4.3,10.2,68400,49
